printers,unique_books
Adam of Rottweil,1
"Aich, Arnd von",1
"Allde, Edward",1
"Alvares, António",2
Anonymous_SineLoco_1598_S,1
Anonymous_SineLoco_[1526]_S,1
"Apianus, Petrus",1
"Baligault, Félix",1
"Barbier, Symphorien",2
"Barreira, Antonio de",1
"Basa, Bernardo",1
"Basa, Domenico",1
"Bascarini, Niccolò",2
"Belfortis, Andreas",1
"Bellère I., Pierre",1
"Bellère, Jean",1
"Bevilacqua, Niccolò",1
"Bevilacqua, Simone",1
"Bindoni I., Francesco",1
"Blado, Antonio",1
"Bois, Simon du",1
"Braubach, Peter",9
"Béraud, Symphorien",3
"Caillaut, Antoine",1
"Cammerlander, Jacob",2
"Castañeda, Rodrigo de",1
"Cavellat, Guillaume",17
"Cesano, Bartolomeo",1
"Channey, Johan de",1
"Chaudière, Regnault",4
"Cholinus, Goswin",3
"Cholinus, Maternus",3
"Cholinus, Peter",1
"Ciotti, Giovanni Battista",4
"Colines, Simon de",6
Company Anton Schöne & Clemens Schleich,1
Company Bernard Alsop & Thomas Fawcett,1
Company Bonaventura Elsevier & Abraham Elsevier,4
Company Brothers de Marnef,1
Company Francesco Bindoni I & Maffeo Pasini,2
Company Francesco Brucioli & brothers,1
Company Francesco Zanetti & Domenico Basa,1
Company Giovanni Antonio Nicolini da Sabbio & brothers,3
Company Giovanni Antonio Volpini & Domenico Volpini (brothers),1
Company Giovanni Rosso & Bernardino Rosso (brothers),1
Company Giovanni Varisco & Paganino Paganini,1
Company Giovanni Varisco & compagni,5
Company Guillaume Cavellat & Jérôme de Marnef,4
Company Heirs of Andreas Kelner,1
Company Heirs of Arnold Birckmann,2
Company Heirs of Giovanni Padovani,1
Company Heirs of Girolamo Scoto,3
Company Heirs of Heinrich Quentell,4
Company Heirs of Melchiorre Sessa I.,7
Company Heirs of Ottaviano Scoto I.,1
Company Heirs of Peter Braubach,1
Company Heirs of Peter I. Seitz,4
Company Jan Moretus & Widow of Christophe Plantin (Jeanne Plantin),1
Company Johann Wechel & Peter Fischer,1
Company Johannes Lucilius Santritter & Girolamo de Sanctis,1
Company Jérôme de Marnef & Widow of Guillaume Cavellat (Denise de Marnef),3
Company Valerio Meda & brothers,1
Company Widow & heirs of Zacharias I. Schürer,1
"Crispin, Samuel",4
"Cromberger, Juan",1
"Denise Cavellat, Widow of Arnold Sittart",1
"Eguia, Miguel de",1
"Eliano, Vittorio",1
"Eltz, Reinhard",1
"Estienne I., Henri",3
"Fincelius, Hiob Wilhelm",1
"Flach I., Martin",1
"Franceschi, Francesco de",2
"Fuscus, Dominicus",1
"Gabiano, Jean de",1
"Gaillard, German",2
"García Morrás, Domingo",1
"Gazeau, Hugues",1
"Ghemart, Adrián",2
"Giunta, Jacopo",2
"Giunta, Lucantonio",2
"Gronenberg, Simon",1
"Grothe, Konrad",2
"Gutknecht, Jobst",1
"Guyot, Claude",1
"Haller, Jan",2
"Harnisch, Matthäus",1
Heir of Giovanni Varisco  (Giorgio Varisco),1
"Hermann, Johann",2
"Herrera, Juan de",1
"Hopyl, Wolfgang",3
"Hänlin, Gregor",1
Jacques du Creux a.k.a. Molliard,1
"Jacquin, Julien I.",1
"Jansonius, Justus",1
"Jeffes, Abel",1
"Judson, Thomas",1
"Jugge, Richard",2
"Julliéron, Guichard",2
"Junta, Juan de",1
"Kachelofen, Konrad",2
"Kempen, Hermann von",1
"Klug, Joseph",5
"Knobloch I, Johann",1
"Krafft the Elder, Johann",17
"Krafft, Johann",5
"Kreutzer, Veit",2
"Landsberg, Martin",10
"Lavagna, Filippo da",1
"Lehmann, Zacharias",1
"León, Juan de",2
"Locatello, Boneto",2
"Loe, Jan vander",1
"Loys, Jean",3
"Lufft, Hans",1
"Marchant, Guy",2
"Marchetti, Silvestro",1
"Mayer, Johann",1
"Middleton, Henry",3
"Mittelhus, Georges",1
"Morrhy, Gérard",1
"Nicolini da Sabbio, Cornelio",1
"Nicolini da Sabbio, Giovanni Antonio",2
"Nicolini da Sabbio, Pietro",2
"Nutius I., Martinus",2
"Palthenius, Zacharias",1
"Penzio, Giacomo",1
"Percacino, Grazioso",4
"Perna, Pietro",1
"Petit I., Jean",2
"Petri, Heinrich",1
"Pietro, Filippo di",1
"Pillehotte, Antoine",1
"Plantin, Christophe",7
"Polère, Amédée",1
"Ponte, Gottardo da",1
"Quentell, Heinrich",3
"Quesnel, Jacques",2
"Quignon, Vincent",1
"Rade, Gilles van den",1
"Rampazetto, Francesco",3
"Rastelli, Giovanni Bernardino",2
"Ratdolt, Erhard",2
"Renner, Franz",1
"Ricardo, Antonio",1
"Richard, Jean",7
"Richard, Thomas",2
"Rubiera, Giustiniano da",1
"Scoto, Girolamo",2
"Seitz, Peter I.",1
"Sessa I., Giovanni Battista",2
"Sessa I., Melchiorre",1
"Singriener I., Johann",1
"Spirinx, Nicolas",1
"Stansby, William",1
"Stöckel, Wolfgang",3
"Sylvius, Willem",1
"Säuberlich, Lorenz",2
"Taberniel, Jacinto",1
"Tinghi, Philippe",3
"Torrentino, Lorenzo",1
"Tournes (II.), Jean de",1
"Trino, Guglielmo da",1
"Ungler, Florian",1
"Vascosan, Michel",5
"Vidoue, Pierre",1
"Vögelin, Ernst",1
"Wechel, André",2
"Wechel, Johann",2
"Weiß, Johann Friedrich",1
"Welack, Matthaeus",5
Widow of Guillaume Cavellat (Denise de Marnef),2
Widow of Jean Du Pré (Claire Dimanche),1
Widow of Richard Jugge (Joan Jugge),2
"Windet, John",1
"Zanetti, Bartolomeo",1
"Zanetti, Luigi",2
"de Argentina, Florentinus",1
