cluster_name,3D main point,3D decoration,material object,decorated,sun in sign no circles,sum in sign with circles,sign symbol,sign figurre,advanced diagram
SAC_SIL_02197,yes,no,no,no,,,no,no,no
SAC_SIL_02230,no,no,no,no,,,no,no,no
SAC_SIL_00354,yes,no,no,no,,,no,no,no
SAC_SIL_00142,yes,no,no,no,,,no,no,no
SAC_SIL_01310,yes,no,no,no,,,no,no,no
SAC_SIL_00029,yes,no,no,no,no,yes,no,no,no
SAC_SIL_00191,yes,yes,no,no,,,no,yes,no
SAC_SIL_02569,no,no,no,no,,,no,no,no
SAC_SIL_02709,no,no,no,no,,,no,no,no
SAC_SIL_01968,yes,no,no,no,,,no,no,no
SAC_SIL_01788,yes,no,no,yes,,,no,no,no
SAC_SIL_02434,no,no,no,yes,,,no,no,no
SAC_SIL_02892,no,no,no,no,,,yes,no,no
SAC_SIL_03815,no,no,no,no,,,no,no,no
SAC_SIL_03816,yes,no,no,no,,,yes,no,no
SAC_SIL_03825,no,no,no,no,,,yes,no,no
SAC_SIL_03668,no,no,no,no,no,yes,yes,no,yes
SAC_SIL_01499,yes,no,no,yes,no,yes,yes,yes,no
SAC_SIL_00054,yes,no,no,no,,,yes,no,no
SAC_SIL_03039,no,no,no,no,,,no,no,no
SAC_SIL_03456,no,no,no,no,,,no,no,no
SAC_SIL_03214,no,no,no,no,,,no,no,no
SAC_SIL_01131,no,no,no,no,,,no,no,no
SAC_SIL_02908,yes,no,no,no,,,no,no,no
SAC_SIL_02743,yes,yes,yes,yes,,,yes,no,no
SAC_SIL_01422,no,no,no,yes,no,yes,no,no,no
SAC_SIL_01153,yes,no,no,yes,no,yes,yes,yes,no
SAC_SIL_03818,yes,no,no,no,,,yes,no,no
SAC_SIL_03817,yes,no,no,no,,,yes,no,no
SAC_SIL_00504,yes,no,no,yes,,,no,no,no
SAC_SIL_01495,yes,yes,no,yes,,,yes,no,no
SAC_SIL_03570,yes,no,no,yes,,,no,no,no
SAC_SIL_02623,yes,no,no,yes,yes,no,no,yes,no
SAC_SIL_02684,no,no,no,yes,,,yes,no,no
SAC_SIL_01704,yes,no,no,no,,,yes,no,no
SAC_SIL_00418,yes,no,no,no,,,yes,no,no
SAC_SIL_00524,no,no,no,no,,,yes,no,no
SAC_SIL_00185,yes,yes,no,yes,yes,no,yes,no,no
SAC_SIL_00028,yes,yes,no,yes,yes,no,yes,no,no
SAC_SIL_00223,yes,no,no,yes,,,yes,no,no
SAC_SIL_00555,yes,yes,no,yes,,,yes,no,no
SAC_SIL_00439,yes,no,no,no,,,yes,no,no
SAC_SIL_02295,no,no,no,no,no,yes,yes,no,no
SAC_SIL_00549,yes,no,no,no,yes,no,yes,no,no
SAC_SIL_00368,yes,no,no,yes,,,yes,no,no
SAC_SIL_01138,yes,no,no,yes,,,yes,no,no
SAC_SIL_00300,no,no,no,yes,yes,no,yes,no,no
SAC_SIL_00023,yes,no,no,yes,,,yes,no,no
SAC_SIL_02116,yes,no,no,yes,,,yes,no,no
SAC_SIL_01063,no,no,no,no,,,no,no,no
SAC_SIL_02631,no,no,no,no,,,no,no,no
SAC_SIL_03255,yes,no,no,no,,,yes,no,no
SAC_SIL_00402,yes,no,no,yes,no,yes,yes,no,no
SAC_SIL_03295,yes,yes,no,no,,,yes,no,no
SAC_SIL_01238,yes,no,no,yes,,,yes,no,no
SAC_SIL_03813,yes,no,no,yes,,,yes,no,no
SAC_SIL_02928,yes,no,no,no,yes,no,yes,no,no
SAC_SIL_03256,yes,yes,no,no,,,yes,no,no
SAC_SIL_01306,yes,no,no,yes,,,yes,no,no
SAC_SIL_00278,no,yes,no,yes,yes,no,yes,no,no
SAC_SIL_00076,no,no,no,yes,,,yes,no,no
SAC_SIL_02875,yes,no,no,no,,,yes,no,no
SAC_SIL_02705,no,yes,no,no,yes,no,yes,no,no
SAC_SIL_03303,no,yes,no,yes,,,yes,no,no
SAC_SIL_02821,yes,no,no,yes,,,yes,no,no
SAC_SIL_03619,no,no,no,yes,yes,no,yes,no,no
SAC_SIL_03547,yes,no,no,no,,,no,yes,no
SAC_SIL_03572,yes,no,no,yes,,,no,yes,no
SAC_SIL_03642,no,no,no,yes,no,yes,yes,no,no
SAC_SIL_03633,yes,no,no,yes,,,no,no,no
SAC_SIL_00194,no,no,no,yes,no,yes,yes,no,no
SAC_SIL_03068,no,no,no,no,,,no,no,no
SAC_SIL_00913,no,no,no,no,,,no,no,no
SAC_SIL_03398,no,yes,no,yes,no,yes,no,no,no
SAC_SIL_03307,no,no,no,no,,,no,no,no
SAC_SIL_02461,no,yes,no,yes,no,yes,no,no,no
SAC_SIL_02260,no,yes,no,yes,no,yes,no,no,no
SAC_SIL_02325,yes,no,no,no,,,yes,no,no
SAC_SIL_03203,no,yes,no,yes,yes,no,yes,no,no
SAC_SIL_03442,yes,no,no,no,,,yes,no,no
SAC_SIL_03302,yes,no,no,no,,,yes,no,no
SAC_SIL_03324,no,no,no,no,yes,no,yes,no,no
SAC_SIL_02338,yes,no,no,no,,,yes,no,no
SAC_SIL_03070,no,no,no,no,,,no,no,no
SAC_SIL_03855,no,no,no,yes,yes,no,yes,no,no
SAC_SIL_00203,no,yes,no,yes,yes,no,yes,no,no
SAC_SIL_01385,yes,no,no,yes,,,yes,no,no
SAC_SIL_03345,yes,no,no,yes,yes,no,no,no,no
SAC_SIL_01896,no,no,no,yes,no,yes,yes,no,yes
SAC_SIL_03623,yes,no,no,yes,no,yes,yes,no,no
SAC_SIL_03529,yes,no,no,no,,,no,no,no